Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2018-04-22,2018-04-28,NORDESTE,GLP,38,62.21,60.0,70.0,2018,2018
2018-04-22,2018-04-28,NORDESTE,GLP,26,75.36,65.0,85.0,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,5,2.73,2.73,2.73,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,16,2.47,2.37,2.69,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,15,3.15,2.99,3.19,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,8,2.96,2.95,3.05,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,10,2.48,2.47,3.18,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,12,3.0,2.89,3.13,2018,2018
2018-04-22,2018-04-28,NORDESTE,GNV,4,2.89,2.89,2.9,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,50,3.53,3.19,3.97,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,321,3.35,2.86,4.3,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,202,3.59,3.4,3.85,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,38,3.52,3.2,3.89,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,60,3.13,2.97,3.56,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,158,3.21,2.95,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,47,3.44,3.38,3.85,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,61,3.51,3.3,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ETANOL HIDRATADO,29,3.58,3.2,3.75,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,35,3.58,3.39,3.85,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,220,3.49,3.21,4.3,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,64,3.65,3.55,3.84,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,54,3.36,3.2,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,35,3.38,3.15,3.73,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,28,3.49,3.19,3.69,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,39,3.56,3.38,3.75,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,46,3.6,3.46,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL,21,3.5,3.29,3.7,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,44,3.62,3.3,3.89,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,248,3.57,3.29,4.42,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,208,3.67,3.5,3.9,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,108,3.48,3.2,3.8,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,55,3.47,3.29,3.8,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,169,3.43,3.15,3.79,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,65,3.69,3.48,3.85,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,51,3.72,3.58,3.86,2018,2018
2018-04-29,2018-05-05,NORDESTE,ÓLEO DIESEL S10,40,3.68,3.3,3.9,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,57,4.26,3.95,4.6,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,339,4.25,3.83,5.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,217,4.4,4.24,4.76,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,120,3.91,3.64,4.42,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,63,3.98,3.75,4.42,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,187,4.23,3.94,4.73,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,68,4.3,4.15,4.65,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,61,4.27,4.18,4.39,2018,2018
2018-04-29,2018-05-05,NORDESTE,GASOLINA COMUM,41,4.21,3.9,4.53,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,26,63.98,55.0,75.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,204,57.71,45.0,76.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,131,70.44,60.0,80.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,71,69.09,55.0,90.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,56,63.85,60.0,70.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,162,61.79,50.0,75.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,35,67.38,60.0,82.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,31,63.99,57.0,72.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GLP,26,75.67,65.0,85.0,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,7,2.73,2.73,2.99,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,20,2.51,2.32,2.69,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,14,3.14,3.07,3.19,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,6,2.96,2.95,3.05,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,10,2.49,2.47,3.18,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,9,3.03,2.89,3.13,2018,2018
2018-04-29,2018-05-05,NORDESTE,GNV,2,2.94,2.88,3.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,53,3.47,3.15,3.99,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,318,3.51,2.91,4.3,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,201,3.65,3.45,3.89,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,36,3.52,3.2,4.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,60,3.12,2.97,3.56,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,159,3.28,2.95,3.7,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,49,3.45,3.3,3.85,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,58,3.5,3.36,3.6,2018,2018
2018-05-06,2018-05-12,NORDESTE,ETANOL HIDRATADO,29,3.61,3.2,3.9,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,37,3.62,3.29,3.97,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,222,3.56,3.24,4.1,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,62,3.76,3.5,3.9,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,60,3.41,3.2,3.9,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,23,3.42,3.28,3.7,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,21,3.55,3.26,3.75,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,41,3.62,3.49,3.75,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,46,3.63,3.59,3.7,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL,17,3.57,3.5,3.69,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,40,3.72,3.5,4.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,252,3.65,3.27,4.42,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,208,3.8,3.48,4.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,103,3.52,3.26,4.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,53,3.54,3.34,4.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,167,3.52,3.19,3.9,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,64,3.71,3.57,3.85,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,52,3.75,3.69,3.89,2018,2018
2018-05-06,2018-05-12,NORDESTE,ÓLEO DIESEL S10,38,3.7,3.3,3.9,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,57,4.24,3.89,4.6,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,334,4.5,3.84,5.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,216,4.57,4.24,4.7,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,120,3.92,3.64,4.52,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,63,4.04,3.74,4.42,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,187,4.26,3.95,4.73,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,68,4.28,4.17,4.65,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,63,4.24,4.19,4.3,2018,2018
2018-05-06,2018-05-12,NORDESTE,GASOLINA COMUM,40,4.23,3.9,4.53,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,26,64.16,55.0,75.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,204,57.39,45.0,76.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,131,70.78,60.0,79.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,71,68.62,55.0,90.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,56,63.54,60.0,75.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,162,62.36,55.0,77.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,35,67.71,60.0,82.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,41,62.98,60.0,70.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GLP,26,75.05,64.9,83.0,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,5,2.67,2.59,2.73,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,13,2.56,2.44,2.79,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,19,3.24,3.16,3.3,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,6,3.08,2.95,3.28,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,9,2.6,2.6,3.18,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,15,3.03,2.85,3.4,2018,2018
2018-05-06,2018-05-12,NORDESTE,GNV,5,2.98,2.9,3.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,54,3.56,3.28,4.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,318,3.49,2.93,4.3,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,201,3.61,3.45,3.87,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,36,3.52,3.0,4.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,61,3.12,2.97,3.56,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,163,3.28,2.95,3.89,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,47,3.45,3.28,3.85,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,59,3.51,3.32,3.78,2018,2018
2018-05-13,2018-05-19,NORDESTE,ETANOL HIDRATADO,30,3.61,3.2,3.8,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,43,3.68,3.29,3.97,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,227,3.6,3.24,4.3,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,64,3.77,3.5,4.05,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,65,3.43,3.2,3.9,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,24,3.51,3.28,3.73,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,22,3.56,3.19,3.84,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,39,3.65,3.46,3.9,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,46,3.71,3.6,3.9,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL,18,3.67,3.5,3.9,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,48,3.77,3.5,4.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,247,3.69,3.39,4.42,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,208,3.81,3.56,4.08,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,99,3.55,3.2,4.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,53,3.59,3.34,4.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,167,3.54,3.19,3.9,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,64,3.74,3.65,3.99,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,53,3.86,3.69,4.08,2018,2018
2018-05-13,2018-05-19,NORDESTE,ÓLEO DIESEL S10,37,3.82,3.3,4.1,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,58,4.31,4.09,4.6,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,336,4.52,3.84,5.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,216,4.58,4.24,4.83,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,120,3.93,3.5,4.52,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,63,4.08,3.74,4.42,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,187,4.26,3.95,4.73,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,68,4.33,4.15,4.65,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,63,4.39,4.2,4.54,2018,2018
2018-05-13,2018-05-19,NORDESTE,GASOLINA COMUM,39,4.21,3.9,4.58,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,26,63.84,55.0,75.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,204,57.39,45.0,76.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,131,70.78,55.0,80.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,71,68.84,55.0,90.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,56,63.98,60.0,75.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,162,62.75,55.0,77.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,35,67.46,55.0,82.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,34,63.23,57.0,70.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GLP,26,75.05,64.9,83.0,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,3,2.73,2.73,2.73,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,14,2.55,2.44,2.87,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,16,3.16,3.09,3.2,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,8,3.13,2.96,3.28,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,9,2.6,2.59,3.18,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,12,3.03,2.85,3.29,2018,2018
2018-05-13,2018-05-19,NORDESTE,GNV,2,3.0,3.0,3.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,52,3.43,3.1,4.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,318,3.49,2.99,4.23,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,200,3.61,3.5,3.85,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,32,3.62,3.29,3.91,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,55,3.15,2.93,3.7,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,150,3.31,3.0,3.84,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,47,3.43,3.2,3.96,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,60,3.54,3.38,3.7,2018,2018
2018-05-20,2018-05-26,NORDESTE,ETANOL HIDRATADO,29,3.6,3.38,3.7,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,36,3.8,3.55,4.16,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,218,3.77,3.43,4.31,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,61,3.92,3.69,4.19,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,57,3.78,3.49,4.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,27,3.67,3.29,3.97,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,19,3.73,3.59,3.9,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,39,3.87,3.68,4.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,45,3.82,3.64,3.99,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL,21,3.84,3.75,4.04,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,41,3.87,3.62,4.3,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,249,3.84,3.52,4.7,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,207,3.93,3.82,4.35,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,91,3.87,3.3,4.1,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,47,3.7,3.39,4.09,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,156,3.76,3.4,4.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,66,3.96,3.74,4.1,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,55,3.94,3.69,4.09,2018,2018
2018-05-20,2018-05-26,NORDESTE,ÓLEO DIESEL S10,36,3.95,3.8,4.13,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,57,4.35,4.05,4.76,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,331,4.59,3.94,5.2,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,218,4.61,4.4,4.98,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,104,4.25,3.9,4.62,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,58,4.19,3.89,4.6,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,175,4.42,4.0,5.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,68,4.47,4.25,4.85,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,61,4.46,4.39,4.6,2018,2018
2018-05-20,2018-05-26,NORDESTE,GASOLINA COMUM,38,4.43,4.24,4.73,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,26,64.11,55.0,75.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,202,57.8,50.0,76.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,131,70.71,57.0,79.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,71,69.16,60.0,90.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,56,63.34,60.0,75.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,163,64.09,55.0,75.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,35,67.35,59.99,80.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,40,61.87,55.0,70.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GLP,26,74.9,65.0,83.0,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,3,2.73,2.72,2.73,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,22,2.57,2.44,2.87,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,12,3.17,3.07,3.25,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,6,3.25,2.96,3.39,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,13,2.6,2.59,2.6,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,16,3.24,3.0,3.5,2018,2018
2018-05-20,2018-05-26,NORDESTE,GNV,2,3.09,3.08,3.1,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,1,3.78,3.78,3.78,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,7,3.51,3.4,3.73,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,28,3.83,3.49,3.9,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,1,3.65,3.65,3.65,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,2,3.16,3.09,3.95,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,2,3.41,3.4,3.49,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,5,3.62,3.49,3.79,2018,2018
2018-05-27,2018-06-02,NORDESTE,ETANOL HIDRATADO,2,3.68,3.6,3.7,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,4,4.11,3.97,4.14,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,19,3.77,3.62,5.2,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,12,4.01,3.92,4.16,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,9,3.9,3.68,4.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,1,3.72,3.72,3.72,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,2,3.83,3.8,3.85,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,8,3.81,3.7,3.99,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,12,3.79,3.6,3.9,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL,4,3.87,3.8,4.04,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,1,4.07,4.07,4.07,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,23,3.87,3.74,5.3,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,46,4.03,3.85,4.3,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,14,3.91,3.78,4.1,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,3,3.78,3.76,3.8,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,6,3.8,3.7,4.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,13,3.94,3.8,4.1,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,13,3.93,3.77,4.06,2018,2018
2018-05-27,2018-06-02,NORDESTE,ÓLEO DIESEL S10,4,3.99,3.9,4.08,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,6,4.65,4.47,4.7,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,28,4.58,4.49,4.89,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,46,4.86,4.55,4.95,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,13,4.25,4.08,4.59,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,3,4.32,4.3,4.6,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,1,4.6,4.6,4.6,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,5,4.58,4.5,4.76,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,16,4.57,4.41,4.6,2018,2018
2018-05-27,2018-06-02,NORDESTE,GASOLINA COMUM,4,4.49,4.39,4.73,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,11,62.84,53.0,80.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,33,71.89,60.0,80.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,11,75.97,70.0,85.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,3,61.0,58.0,65.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,6,63.6,60.0,75.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,5,72.29,65.0,80.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GLP,2,66.75,60.0,70.0,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,3,2.73,2.73,3.04,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,13,2.58,2.44,2.87,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,4,3.25,3.17,3.3,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,2,3.19,3.19,3.19,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,11,2.6,2.59,2.6,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,4,3.23,3.0,3.29,2018,2018
2018-05-27,2018-06-02,NORDESTE,GNV,1,3.08,3.08,3.08,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,43,3.63,3.35,4.0,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,247,3.53,3.09,4.3,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,192,3.76,3.52,3.9,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,34,3.63,3.25,3.9,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,50,3.28,3.08,3.68,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,149,3.46,3.2,3.99,2018,2018
2018-06-03,2018-06-09,NORDESTE,ETANOL HIDRATADO,32,3.45,3.25,3.9,2018,2018
